,name,oklad,link,site
0,Junior Data Engineer,80 000 – 120 000 руб.,https://irkutsk.hh.ru/vacancy/45827027?query=data%20scien,hh.ru
1,Специалист Computer Vision (Senior Data Scientist),180 000 – 300 000 руб.,https://irkutsk.hh.ru/vacancy/45715303?query=data%20scien,hh.ru
2,Data Scientist,100 000 – 250 000 руб.,https://irkutsk.hh.ru/vacancy/44350010?query=data%20scien,hh.ru
3,Senior data science analytics,от 150 000 руб.,https://irkutsk.hh.ru/vacancy/45378636?query=data%20scien,hh.ru
4,Data Science (Consultant/Middle/Senior),,https://irkutsk.hh.ru/vacancy/45860634?query=data%20scien,hh.ru
5,Senior Data Scientist,от 500 000 KZT,https://irkutsk.hh.ru/vacancy/45767231?query=data%20scien,hh.ru
6,Data Scientist,до 250 000 руб.,https://irkutsk.hh.ru/vacancy/45191074?query=data%20scien,hh.ru
7,Junior аналитик данных,,https://irkutsk.hh.ru/vacancy/45963299?query=data%20scien,hh.ru
8,BI-аналитик,от 300 000 KZT,https://irkutsk.hh.ru/vacancy/45767593?query=data%20scien,hh.ru
9,Junior Quantitative Researcher,от 100 000 руб.,https://irkutsk.hh.ru/vacancy/44942169?query=data%20scien,hh.ru
10,"Data-science Intern/Analyst, Technology Group, Performance Improvement",,https://irkutsk.hh.ru/vacancy/45726835?query=data%20scien,hh.ru
11,Data Scientist / Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45062052?query=data%20scien,hh.ru
12,Senior Data Scientist (Recommender Systems),от 250 000 руб.,https://irkutsk.hh.ru/vacancy/40374266?query=data%20scien,hh.ru
13,Lead Quantitative Researcher,200 000 – 500 000 руб.,https://irkutsk.hh.ru/vacancy/45349239?query=data%20scien,hh.ru
14,Data Scientist,,https://irkutsk.hh.ru/vacancy/45959522?query=data%20scien,hh.ru
15,Data Scientist,,https://irkutsk.hh.ru/vacancy/45287557?query=data%20scien,hh.ru
16,Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45350928?query=data%20scien,hh.ru
17,Product Data Analyst,,https://irkutsk.hh.ru/vacancy/45566108?query=data%20scien,hh.ru
18,Data Scientist,,https://irkutsk.hh.ru/vacancy/45979603?query=data%20scien,hh.ru
19,Data Scientist,,https://irkutsk.hh.ru/vacancy/45932322?query=data%20scien,hh.ru
20,Junior Data Engineer,80 000 – 120 000 руб.,https://irkutsk.hh.ru/vacancy/45827027?query=data%20scien,hh.ru
21,Специалист Computer Vision (Senior Data Scientist),180 000 – 300 000 руб.,https://irkutsk.hh.ru/vacancy/45715303?query=data%20scien,hh.ru
22,Data Scientist,100 000 – 250 000 руб.,https://irkutsk.hh.ru/vacancy/44350010?query=data%20scien,hh.ru
23,Senior data science analytics,от 150 000 руб.,https://irkutsk.hh.ru/vacancy/45378636?query=data%20scien,hh.ru
24,Data Science (Consultant/Middle/Senior),,https://irkutsk.hh.ru/vacancy/45860634?query=data%20scien,hh.ru
25,Senior Data Scientist,от 500 000 KZT,https://irkutsk.hh.ru/vacancy/45767231?query=data%20scien,hh.ru
26,Data Scientist,до 250 000 руб.,https://irkutsk.hh.ru/vacancy/45191074?query=data%20scien,hh.ru
27,Junior аналитик данных,,https://irkutsk.hh.ru/vacancy/45963299?query=data%20scien,hh.ru
28,BI-аналитик,от 300 000 KZT,https://irkutsk.hh.ru/vacancy/45767593?query=data%20scien,hh.ru
29,Junior Quantitative Researcher,от 100 000 руб.,https://irkutsk.hh.ru/vacancy/44942169?query=data%20scien,hh.ru
30,"Data-science Intern/Analyst, Technology Group, Performance Improvement",,https://irkutsk.hh.ru/vacancy/45726835?query=data%20scien,hh.ru
31,Data Scientist / Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45062052?query=data%20scien,hh.ru
32,Senior Data Scientist (Recommender Systems),от 250 000 руб.,https://irkutsk.hh.ru/vacancy/40374266?query=data%20scien,hh.ru
33,Lead Quantitative Researcher,200 000 – 500 000 руб.,https://irkutsk.hh.ru/vacancy/45349239?query=data%20scien,hh.ru
34,Data Scientist,,https://irkutsk.hh.ru/vacancy/45959522?query=data%20scien,hh.ru
35,Data Scientist,,https://irkutsk.hh.ru/vacancy/45287557?query=data%20scien,hh.ru
36,Аналитик Data Science,,https://irkutsk.hh.ru/vacancy/45350928?query=data%20scien,hh.ru
37,Product Data Analyst,,https://irkutsk.hh.ru/vacancy/45566108?query=data%20scien,hh.ru
38,Data Scientist,,https://irkutsk.hh.ru/vacancy/45979603?query=data%20scien,hh.ru
39,Data Scientist,,https://irkutsk.hh.ru/vacancy/45932322?query=data%20scien,hh.ru
40,Junior Data Engineer,80 000 – 120 000 руб.,https://irkutsk.hh.ru/vacancy/45827027?query=data%20scien,hh.ru
41,Специалист Computer Vision (Senior Data Scientist),180 000 – 300 000 руб.,https://irkutsk.hh.ru/vacancy/45715303?query=data%20scien,hh.ru
